Stop,StopTranslated,Fish,FishTranslated,Fish-CN,Fish-KR,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialType,BaitMoochType,BaitMoochType,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Route12
Rothlyt,The Rothlyt Sound,Thavnairian Shark,Thavnairian Shark,萨维奈鲨鱼,사베네어 상어,12 - 17,12 - 17,12 - 17,12 - 17,,,,,,,Krill,Krill,44,2,3,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,3,,Shark,Shark,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,Nephrite Eel,Nephrite Eel,翡翠软玉鳗,연옥장어,15 - 24,15 - 24,15 - 24,15 - 24,,,,,,,Krill,Krill,44,2,3,!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,3,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,Spectresaur,Spectresaur,幻光鱼龙,유령 사우루스,15 - 24,15 - 24,15 - 24,16 - 24,,,,,,,Plump Worm,Plump Worm,100,1,1,!!!,Powerful,Powerful Hookset,Yes,Yes,Yes,Yes,Yes,No,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,4,,,,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,I!Ginkgo Fin,Ginkgo Fin,I!银杏鱼,I!은행나무어,11 - 18,,,,,,,,,,Ragworm,Ragworm,238,1,1,!!!,Precision,Precision Hookset,Yes,Yes,Yes,Yes,Yes,Yes,Thunder,Thunder,Thunderstorms,Thunderstorms,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Rothlyt Kelp.png"" alt=""Rothlyt Kelp"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Rothlyt Kelp"" tabindex=""0"">",No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,Garum Jug,Garum Jug,鱼酱罐,젓갈통고기,2 - 3,2 - 3,2 - 3,4 - 6,,,,,,,Ragworm,Ragworm,107,4,7,!,Precision,Precision Hookset,,,,,,,,,,,Yes,No,Yes,4,F,Fugu,Fugu,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
Rothlyt,The Rothlyt Sound,Smooth Jaguar,Smooth Jaguar,海猎豹,표범장어,3 - 4,3 - 4,3 - 4,5 - 7,,3 - 4,,,M!Rothlyt Mussel,Rothlyt Mussel,Plump Worm,Plump Worm,70,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,M!Rothlyt Mussel,Rothlyt Mussel,M!罗斯利特贝,M!로들리트 홍합,3 - 4,3 - 4,3 - 4,5 - 7,,,,,,,Ragworm,Ragworm,72,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,Levi Elver,Levi Elver,利维幼鳗,리바치어선,2 - 3,2 - 3,2 - 3,4 - 6,,2 - 3,,,M!Rothlyt Mussel,Rothlyt Mussel,Krill,Krill,75,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,Pearl Bombfish,Pearl Bombfish,珍珠爆弹,진주복,,5 - 6,,7 - 9,,,,,,,Krill,Krill,237,4,7,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,No,Yes,4,F,Fugu,Fugu,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
Rothlyt,The Rothlyt Sound,T!Trollfish,Trollfish,T!巨魔鱼,T!볏지느러미,,,,,,3.5 - 6,,,M!Rothlyt Mussel,Rothlyt Mussel,M!Rothlyt Mussel,Rothlyt Mussel,202,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,Panoptes,Panoptes,潘诺普忒斯,파놉테스,,,4.5 - 8,7 - 11,,7 - 11,,,M!Rothlyt Mussel,Rothlyt Mussel,Plump Worm,Plump Worm,125,4,7,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,No,No,4,,Manta,Manta,,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Rothlyt,The Rothlyt Sound,Crepe Sole,Crepe Sole,金鞋底,황금밑창,4.5 - 8,4.5 - 8,4.5 - 8,7 - 11,,,,,,,Ragworm,Ragworm,72,2,3,!,Precision,Precision Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,Knifejaw,Knifejaw,刀颚鱼,칼턱주가리,,7 - 9,,9 - 11,,,,,,,Krill,Krill,465,2,3,!!,Powerful,Powerful Hookset,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
Rothlyt,The Rothlyt Sound,I!Placodus,Placodus,I!盾齿龙,I!플라코두스,,,,,,9 - 12,,,M!Rothlyt Mussel,Rothlyt Mussel,M!Rothlyt Mussel,Rothlyt Mussel,500,1,1,!!!,Powerful,Powerful Hookset,,,,,,,,,,,No,Yes,No,5,,,,"(45s) x1 <img class=""iconMini"" src=""../img/fish/Trollfish.png"" alt=""Trollfish"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Trollfish"" tabindex=""0"">",Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
